Variant,Sent,Opened,Clicked
E1,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
F4,8/13/13 14:20,8/13/13 15:42,0
A2,8/13/13 14:20,8/14/13 4:34,0
E2,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
B2,8/13/13 14:20,8/13/13 16:16,0
H4,8/13/13 14:20,0,0
G4,8/13/13 14:20,8/13/13 16:00,8/13/13 16:18
E3,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
E1,8/13/13 14:20,0,0
H3,8/13/13 14:20,0,0
D4,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
B1,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
E2,8/13/13 14:20,8/13/13 14:30,8/13/13 14:31
E1,8/13/13 14:20,8/14/13 5:38,0
C2,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
A1,8/13/13 14:20,8/13/13 14:49,0
F3,8/13/13 14:20,0,0
G1,8/13/13 14:20,0,0
G3,8/13/13 14:20,8/13/13 14:21,0
G3,8/13/13 14:20,8/25/13 5:10,0
H1,8/13/13 14:20,0,0
D2,8/13/13 14:20,8/13/13 17:01,0
H2,8/13/13 14:20,0,0
G4,8/13/13 14:20,0,0
H3,8/13/13 14:20,8/13/13 14:28,0
G4,8/13/13 14:20,0,0
E2,8/13/13 14:20,0,0
C4,8/13/13 14:20,0,0
B2,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
H4,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
D3,8/13/13 14:20,8/13/13 14:57,0
